nom_commune;code_insee;code_departement;population;email;nom_contact;code_postal;latitude;longitude
CHAMPFROMIER;01081;1;676;mairie@champfromier01.fr;Michel DE SOUZA;01410;;
CHANAY;01082;1;627;secretariat@mairiedechanay.fr;Henri CALDAIROU;01420;;
CHANEINS;01083;1;810;mairie@chaneins.fr;Patrice FLAMAND;01990;;
CHANOZ-CHÂTENAY;01084;1;713;mairie.chanoz-chatenay@orange.fr;Olivier MORANDAT;01400;;
LA CHAPELLE-DU-CHÂTELARD;01085;1;357;mairie.chapellechatelard@orange.fr;Cyrille RIMAUD;01240;;
CHARIX;01087;1;289;charix.mairie@wanadoo.fr;Didier PALISSON;01130;;
CHARNOZ-SUR-AIN;01088;1;913;accueil@mairie-charnoz.fr;Jean-Louis GUYADER;01800;;
CHÂTEAU-GAILLARD;01089;1;1830;mairie.accueil@chateaugaillard01.fr;Joël BRUNET;01500;;
CHÂTENAY;01090;1;352;mairie@chatenay01.fr;Cyrille CHAFFARD;01320;;
CHÂTENAY;01090;28;352;mairie-chatenay@orange.fr;Cyrille CHAFFARD;28700;;
CHÂTENAY;01090;38;352;contact@mairie-chatenay-38.fr;Cyrille CHAFFARD;38980;;
CHÂTENAY;01090;71;352;mairie-de-chatenay@orange.fr;Cyrille CHAFFARD;71800;;
CHÂTILLON-LA-PALUD;01092;1;1583;secretariat@chatillonlapalud.fr;André MICHON;01320;;
CHÂTILLON-SUR-CHALARONNE;01093;1;4940;mairie@chatillon-sur-chalaronne.org;Yves CLAYETTE;01400;;
CHAVANNES-SUR-REYSSOUZE;01094;1;697;mairie@chavannessurreyssouze.fr;Paul MOREL;01190;;
CHAVEYRIAT;01096;1;943;mairie.chaveyriat@wanadoo.fr;Claude JACQUET;01660;;
CHAZEY-BONS;01098;1;775;mairie@chazey-bons.fr;Didier BONNARD;01300;;
CHAZEY-SUR-AIN;01099;1;1520;secretariat@chazey-sur-ain.fr;René DULOT;01150;;
CHEIGNIEU-LA-BALME;01100;1;159;mairie.cheignieulabalme@orange.fr;Marc BUET;01510;;
CHEVILLARD;01101;1;160;mairie@chevillard01.fr;Jean-Paul ROLANDEZ;01430;;
CHEVROUX;01102;1;938;mairie@chevroux.fr;Dominique SAVOT;01190;;
CHEVRY;01103;1;1269;mairie@ville-chevry.fr;Jean-François RAVOT;01170;;
CHÉZERY-FORENS;01104;1;449;chezery@chezery.fr;Bernard VUAILLAT;01410;;
CIVRIEUX;01105;1;1347;accueil@mairie-civrieux01.fr;Marie Jeanne BEGUET;01390;;
CIZE;01106;1;172;cize.mairie@wanadoo.fr;Luc DESBOIS;01250;;
CIZE;01106;39;172;mairie@cize-jura.fr;Luc DESBOIS;39300;;
CLEYZIEU;01107;1;137;mairie.cleyzieu@k-net.fr;Jean PEYSSON;01230;;
COLIGNY;01108;1;1160;mairie.de.coligny@wanadoo.fr;Bruno RAFFIN;01270;;
COLLONGES;01109;1;1979;mairie@collonges.fr;André DUPARC;01550;;
COLOMIEU;01110;1;112;mairie.colomieu@wanadoo.fr;Gérard JULLIARD;01300;;
CONAND;01111;1;102;mairie.conand@gmail.com;Gérard CHABERT;01230;;
CONDAMINE;01112;1;406;mairie@condamine.fr;Gérard BRUYAS;01430;;
CONDAMINE;01112;39;406;mairie.condamine@wanadoo.fr;Gérard BRUYAS;39570;;
CONDEISSIAT;01113;1;763;mairie@condeissiat.fr;Alain DUPRE;01400;;
CONFORT;01114;1;539;mairie.confort@gmail.com;Michel JERDELET;01200;;
CONFRANÇON;01115;1;1200;mairie@confrancon.fr;Christiane COLAS;01310;;
CONTREVOZ;01116;1;538;contrevozmairie@orange.fr;Alain SAUREL;01300;;
CONZIEU;01117;1;144;commune.conzieu@wanadoo.fr;Guy JANET;01300;;
CORBONOD;01118;1;1190;contact@mairie-corbonod.fr;Joseph TRAVAIL;01420;;
CORLIER;01121;1;121;commune-corlier@orange.fr;Jean-François DUPONT;01110;;
CORMORANCHE-SUR-SAÔNE;01123;1;1064;mairie@cormoranche.fr;Yves Augustin CHAPPELON;01290;;
CORMOZ;01124;1;644;mairie@cormoz.fr;Pierre RIONDY;01560;;
CORVEISSIAT;01125;1;612;mairie@corveissiat.fr;Brigitte MORELET;01250;;
COURMANGOUX;01127;1;507;mairie@courmangoux.fr;Mireille MORNAY;01370;;
COURTES;01128;1;275;mairie.de.courtes@wanadoo.fr;Thierry PALLEGOIX;01560;;
CRANS;01129;1;266;mairie.crans@gmail.com;Jean-Marie CHENOT;01320;;
CRANS;01129;39;266;mairie.crans39@orange.fr;Jean-Marie CHENOT;39300;;
CRESSIN-ROCHEFORT;01133;1;376;secretairemairie.cressin-rochefort@orange.fr;Thierry PETIT;01350;;
CROTTET;01134;1;1722;mairie@crottet.fr;Daniel PERRUCHE;01290;;
CROZET;01135;1;1913;accueil@crozet.fr;Dominique DONZE;01170;;
CRUZILLES-LÈS-MÉPILLAT;01136;1;828;mairie@cruzilleslesmepillat.fr;Christian LAY;01290;;
CURCIAT-DONGALON;01139;1;454;mairie.curciat@free.fr;Marie-Laure CLAPPAZ;01560;;
CURTAFOND;01140;1;714;secretariat@curtafond-mairie.com;Gérard GALLET;01310;;
CUZIEU;01141;1;410;mairie.cuzieu01@wanadoo.fr;Michel RAMON;01300;;
CUZIEU;01141;42;410;mairie@cuzieu.fr;Michel RAMON;42330;;
DAGNEUX;01142;1;4183;accueil@ville-dagneux.fr;Bernard SIMPLEX;01120;;
DIVONNE-LES-BAINS;01143;1;8388;contact@divonne.fr;Etienne BLANC;01220;;
DOMMARTIN;01144;25;857;mairie@dommartin25.fr;Michel NOVE-JOSSERAND;25300;;
DOMMARTIN;01144;58;857;mairie.dommartin58@wanadoo.fr;Michel NOVE-JOSSERAND;58120;;
DOMMARTIN;01144;69;857;contact@mairiedommartin.fr;Michel NOVE-JOSSERAND;69380;;
DOMMARTIN;01144;80;857;dommartin.mairie@wanadoo.fr;Michel NOVE-JOSSERAND;80440;;
DOMPIERRE-SUR-VEYLE;01145;1;1210;mairie@dompierre-sur-veyle.fr;Jean BERARD;01240;;
DOMPIERRE-SUR-CHALARONNE;01146;1;391;mairie.dompierresurchalaronne@gmail.com;Didier MUNERET;01400;;
DOMSURE;01147;1;469;mairie@domsure.fr;Yvan PAUGET;01270;;
DORTAN;01148;1;1934;mairie.dortan@wanadoo.fr;Marianne DUBARE;01590;;
DOUVRES;01149;1;983;mairie@douvres.fr;Christian LIMOUSIN;01500;;
DROM;01150;1;211;mairie@drom.fr;Yves GUILLEMOT;01250;;
DRUILLAT;01151;1;1144;accueil@mairiedruillat.fr;Jean-Luc EMIN;01160;;
FARAMANS;01156;1;712;com01faramans@wanadoo.fr;Gérard BROCHIER;01800;;
FARAMANS;01156;38;712;mairie.faramans@gmail.com;Gérard BROCHIER;38260;;
FAREINS;01157;1;2175;mairie@mairie-fareins.com;Yves DUMOULIN;01480;;
FARGES;01158;1;901;contact@mairie-farges.fr;Monique GRAZIOTTI;01550;;
FEILLENS;01159;1;3108;commune-de-feillens@wanadoo.fr;Guy BILLOUDET;01570;;
FERNEY-VOLTAIRE;01160;1;8452;service.courrier@ferney-voltaire.fr;Daniel RAPHOZ;01210;;
FLAXIEU;01162;1;66;mairie.flaxieu@gmail.com;Serge BAL;01350;;
FOISSIAT;01163;1;1961;mairie@foissiat.com;Jean-Pierre FROMONT;01340;;
FRANCHELEINS;01165;1;1370;contact@francheleins.fr;Irène LECLERC;01090;;
FRANS;01166;1;1974;mairiedefrans@frans.fr;Martial THEVENET;01480;;
GARNERANS;01167;1;660;mairie@garnerans.com;Dominique VIOT;01140;;
GENOUILLEUX;01169;1;605;mairie@genouilleux.fr;Robert DESPLACE;01090;;
GÉOVREISSET;01171;1;912;mairie.geovreisset@wanadoo.fr;Jeannine MOREL;01100;;
GEX;01173;1;10446;mairie@ville-gex.fr;Patrice DUNAND;01170;;
GIRON;01174;1;166;mairie@giron-1000.fr;Eric TARPIN-LYONNET;01130;;
GORREVOD;01175;1;802;communegorrevod@orange.fr;Henri GUILLERMIN;01190;;
GRAND-CORENT;01177;1;167;commune.grand-corent@orange.fr;Bernard CHARLES;01250;;
GRIÈGES;01179;1;1913;mairie@grieges.fr;Joëlle RENOUD;01290;;
GRILLY;01180;1;775;info@mairie-grilly.fr;Judith HEBERT;01220;;
GROISSIAT;01181;1;1153;mairie@mairiegroissiat.fr;Jean-Luc MARRON;01100;;
GUÉREINS;01183;1;1341;mairie-guereins@outlook.fr;Guy MORILLON;01090;;
HAUTECOURT-ROMANÈCHE;01184;1;791;mairie@hautecourt-romaneche.fr;Vincent AZNAR;01250;;
ILLIAT;01188;1;572;secretariat@illiat.fr;Bernard LITAUDON;01140;;
INJOUX-GÉNISSIAT;01189;1;1102;mairie@injoux-genissiat.fr;Albert COCHET;01200;;
INNIMOND;01190;1;116;mairie@innimond.fr;Eric NODET;01680;;
IZENAVE;01191;1;166;mairie.izenave@orange.fr;Thiery DRUET;01430;;
IZERNORE;01192;1;2294;mairie@izernore.fr;Michel COLLETAZ;01580;;
IZIEU;01193;1;201;mairie-izieu@orange.fr;Denis MARTIN-BARBAZ;01300;;
JASSANS-RIOTTIER;01194;1;6044;mairie@jassansriottier.fr;Jean-Pierre REVERCHON;01480;;
JASSERON;01195;1;1622;mairie@jasseron.com;Alain MATHIEU;01250;;
JAYAT;01196;1;1076;mairie@jayat.fr;Robert LONGERON;01340;;
JOURNANS;01197;1;332;contact@mairiejournans.fr;Gérard SEYZERIAT;01250;;
JOYEUX;01198;1;237;secretariat@commune-joyeux.fr;Marius BROCARD;01800;;
JUJURIEUX;01199;1;2124;accueil@jujurieux.fr;Anne BOLLACHE;01640;;
LABALME;01200;1;204;commune.labalme@orange.fr;Frédérique MOLLIE;01450;;
LAGNIEU;01202;1;6785;dgs@mairie-lagnieu.fr;André MOINGEON;01150;;
LAIZ;01203;1;1148;mairie-laiz@laiz.fr;Yves ZANCANARO;01290;;
LANTENAY;01206;1;260;mairiedelantenay@wanadoo.fr;Hervé LEROY;01430;;
LANTENAY;01206;21;260;mairie.lantenay@outlook.com;Hervé LEROY;21370;;
LAPEYROUSE;01207;1;295;lapeyrouse-mairie@orange.fr;Gilles DUBOST;01330;;
LAPEYROUSE;01207;63;295;mairie.lapeyrouse63700@gmail.com;Gilles DUBOST;63700;;
LAVOURS;01208;1;151;commune-de-lavours@orange.fr;Daniel WAELPUT;01350;;
LÉAZ;01209;1;577;mairie@leaz.fr;Alain GILLARD;01200;;
LÉLEX;01210;1;227;mairie@lelex.fr;Pierre MOREL;01410;;
LENT;01211;1;1357;mairiedelent@gmail.com;Marie-Claire PANABIERES;01240;;
LENT;01211;39;1357;commune.de.lent@wanadoo.fr;Marie-Claire PANABIERES;39300;;
LESCHEROUX;01212;1;690;mairiedelescheroux@wanadoo.fr;Aimé NICOLIER;01560;;
LEYMENT;01213;1;1265;secretariat@mairiedeleyment.fr;Marilyn BOTTEX;01150;;
LEYSSARD;01214;1;152;mairie.leyssard@wibox.fr;Michel MOURLEVAT;01450;;
LHUIS;01216;1;872;mairie.lhuis@gmail.com;Simon ALBERT;01680;;
LOMPNAS;01219;1;148;mairie@lompnas.com;François-Xavier DURAND;01680;;
LOYETTES;01224;1;2825;mairie@commune-loyettes.fr;Jean-Pierre GAGNE;01360;;
LURCY;01225;1;392;mairie.lurcy@wanadoo.fr;Nathalie BISIGNANO;01090;;
MAGNIEU;01227;1;434;mairie@magnieu.fr;René TURELLO;01300;;
MAILLAT;01228;1;670;mairie@maillat.fr;Jean Cyrille DUCRET;01430;;
MALAFRETAZ;01229;1;1018;mairie@malafretaz.fr;Alain VIVIET;01340;;
MANTENAY-MONTLIN;01230;1;295;mairie.mantenay@outlook.fr;Michel LEMAIRE;01560;;
MANZIAT;01231;1;1932;mairie@manziat.fr;Denis LARDET;01570;;
MARBOZ;01232;1;2185;accueil@mairie-marboz.fr;Alain GESTAS;01851;;
MARCHAMP;01233;1;124;mairie.marchamp@orange.fr;Jean MARCELLI;01680;;
MARIGNIEU;01234;1;148;mairie.marignieu@wanadoo.fr;Bernard PUTHOD;01300;;
MARLIEUX;01235;1;931;mairie.marlieux@wanadoo.fr;Jean-Paul GRANDJEAN;01240;;
MARSONNAS;01236;1;1020;mairie@marsonnas.fr;Guy ANTOINET;01340;;
MARTIGNAT;01237;1;1595;mairie@martignat.com;Yves LOCATELLI;01100;;
MASSIEUX;01238;1;2416;mairie@mairie-de-massieux.fr;Bernard GRISON;01600;;
MASSIGNIEU-DE-RIVES;01239;1;625;mairie@massignieu.fr;Julien QUINARD;01300;;
MATAFELON-GRANGES;01240;1;652;mairie.matafelon@wanadoo.fr;Jean-Pierre DUPARCHY;01580;;
MEILLONNAS;01241;1;1282;commune-meillonnas@orange.fr;Jean-Paul NEVEU;01370;;
MÉRIGNAT;01242;1;134;mairie.merignat@wanadoo.fr;Marie-Odile LE CORRE;01450;;
MESSIMY-SUR-SAÔNE;01243;1;1207;mairie.messimysursaone@orange.fr;Yvette BADOIL;01480;;
MEXIMIEUX;01244;1;7253;mairie-meximieux@mairie-meximieux.net;Christian BUSSY;01800;;
BOHAS-MEYRIAT-RIGNAT;01245;1;832;mairie@bohas-meyriat-rignat.fr;Jean-Luc LUEZ;01250;;
MÉZÉRIAT;01246;1;2090;accueil.mezeriat@wanadoo.fr;Etienne ROBIN;01660;;
MIJOUX;01247;1;377;accueil.mairie@mijoux.fr;Jean-Yves LAPEYRERE;01410;;
MIONNAY;01248;1;2072;mairie@mionnay.fr;Henri CORMORECHE;01390;;
MIRIBEL;01249;1;9031;mairie@miribel.fr;Sylvie VIRICEL;01705;;
MISÉRIEUX;01250;1;1779;mairie@miserieux.fr;Etienne SERRAT;01600;;
MOGNENEINS;01252;1;737;secretariat@mogneneins.com;Jean-Pierre CHAMPION;01140;;
MONTAGNAT;01254;1;1693;mairie@montagnat.fr;Yvan CHICHOUX;01250;;
MONTAGNIEU;01255;1;514;mairie.montagnieu@gmail.com;Amandine ARRIGONI;01470;;
MONTAGNIEU;01255;38;514;contact@montagnieu-isere.fr;Amandine ARRIGONI;38110;;
MONTANGES;01257;1;327;mairiedemontanges@adeli.biz;Daniel PATUEL;01200;;
MONTCEAUX;01258;1;1214;secretariat@mairie-montceaux.fr;Jean-Claude DESCHIZEAUX;01090;;
MONTCET;01259;1;668;mairie@montcet.fr;Yves BOUILLOUX;01310;;
LE MONTELLIER;01260;1;243;mairie.lemontellier@gmail.com;Patrice MARTIN;01800;;
MONTHIEUX;01261;1;623;mairiedemonthieux@wanadoo.fr;Gisèle BACONNIER;01390;;
MONTLUEL;01262;1;7112;mairie@ville-montluel.fr;Romain DAUBIE;01120;;
MONTMERLE-SUR-SAÔNE;01263;1;3818;contact@mairie-montmerle.fr;Raphaël LAMURE;01090;;
MONTRACOL;01264;1;970;mairie@montracol.fr;Thierry DRUGUET;01310;;
MONTRÉAL-LA-CLUSE;01265;1;3422;mairie@montreal-lacluse.fr;Jean DEGUERRY;01460;;
MONTREVEL-EN-BRESSE;01266;1;2390;mairie@montrevel-en-bresse.fr;Jean-Pierre ROCHE;01340;;
NURIEUX-VOLOGNAT;01267;1;1044;nurieux.volognat@wanadoo.fr;Arlette BERGER;01460;;
MURS-ET-GÉLIGNIEUX;01268;1;245;mairie@murs-et-gelignieux.com;Jean-Paul CONAND;01300;;
NANTUA;01269;1;3651;mairie@nantua.fr;Jean-Pierre CARMINATI;01130;;
NEUVILLE-LES-DAMES;01272;1;1497;contact@neuvillelesdames01.fr;Florent CHEVREL;01400;;
NEUVILLE-SUR-AIN;01273;1;1592;mairie@neuvillesurain.fr;Thierry DUPUIS;01160;;
LES NEYROLLES;01274;1;632;mairielesneyrolles@wanadoo.fr;Lucien JUILLARD;01130;;
NEYRON;01275;1;2489;mairie@mairie-neyron.fr;André GADIOLET;01700;;
NIÉVROZ;01276;1;1495;mairie@ville-nievroz.fr;Patrick BATTISTA;01120;;
NIVOLLET-MONTGRIFFON;01277;1;135;mairie.nivollet.montgriffon607@orange.fr;Jean-Claude LHERBE;01230;;
ONCIEU;01279;1;93;mairie.oncieu@outlook.fr;Ghislaine PERNOD;01230;;
ORDONNAZ;01280;1;147;mairie-ordonnaz@orange.fr;Evelyne REYMOND-BABOLAT;01510;;
ORNEX;01281;1;3779;mairie@ornex.fr;Jean-François OBEZ;01210;;
OUTRIAZ;01282;1;252;mairie@mail-outriaz.fr;Claude MOREL;01430;;
OYONNAX;01283;1;22459;administration.generale@oyonnax.fr;Michel PERRAUD;01100;;
OZAN;01284;1;625;mairie.ozan@gmail.com;René FEYEUX;01190;;
PARCIEUX;01285;1;1109;contact@parcieux.fr;Vincent LAUTIER;01600;;
PÉRON;01288;1;2254;accueil@mairieperon.fr;Christian ARMAND;01630;;
PÉRONNAS;01289;1;6053;info@peronnas.fr;Christian CHANEL;01960;;
PÉROUGES;01290;1;1203;mairie.perouges@wanadoo.fr;Paul VERNAY;01800;;
PERREX;01291;1;810;mairie@perrex.fr;Bernard DAUJAT;01540;;
PEYRIAT;01293;1;172;mairie.peyriat@wanadoo.fr;Pierre-Marie BENOIT;01430;;
PEYRIEU;01294;1;834;communedepeyrieu@orange.fr;Jean GIREL;01300;;
PEYZIEUX-SUR-SAÔNE;01295;1;517;mairie.peyzieux@wanadoo.fr;Monique THIVOLLE;01140;;
PIRAJOUX;01296;1;375;mairie.pirajoux@wanadoo.fr;Noël PIROUX;01270;;
PIZAY;01297;1;780;ville-pizay@wanadoo.fr;Marc GRIMAND;01120;;
PLAGNE;01298;1;139;commune.plagne@orange.fr;Gustave MICHEL;01130;;
PLAGNE;01298;31;139;mairie.plagne@wanadoo.fr;Gustave MICHEL;31220;;
LE PLANTAY;01299;1;536;commune-du-plantay@orange.fr;Danielle OTHEGUY;01330;;
POLLIAT;01301;1;2388;accueil@polliat.fr;Christian BERNARD;01310;;
POLLIEU;01302;1;155;mairie@pollieu.fr;Laurent JACQUIER;01350;;
PONCIN;01303;1;1665;mairie@poncin.fr;Jean-Michel GIROUX;01450;;
PONT-D'AIN;01304;1;2636;mairie@pontdain.fr;Gérard GUICHARD;01160;;
PONT-DE-VAUX;01305;1;2219;mairie.pont-de-vaux@wanadoo.fr;Philippe COILLARD;01190;;
PONT-DE-VEYLE;01306;1;1597;mairie@pont-de-veyle.fr;Jean Paul MOUTOT;01290;;
PORT;01307;1;867;mairie@mairie-port.fr;Gérard DUTRAIT;01460;;
POUGNY;01308;1;808;pougny@pougny01.com;Jean-Louis DURIEZ;01550;;
POUGNY;01308;58;808;mairie.pougny@wanadoo.fr;Jean-Louis DURIEZ;58200;;
POUILLAT;01309;1;90;mairie.pouillat@luxinet.fr;Guy CHAPUIS;01250;;
PRÉMEYZEL;01310;1;224;mairie@premeyzel.fr;Jean-Pierre ROPELE;01300;;
PRÉMILLIEU;01311;1;39;mairie.premillieu01@orange.fr;Marie-Claude DELEAZ;01110;;
PRÉVESSIN-MOËNS;01313;1;6806;mairie@prevessin-moens.fr;Aurélie CHARILLON;01280;;
PRIAY;01314;1;1521;secretariat@priay.com;Gérard THEVEAUX;01160;;
RAMASSE;01317;1;254;mairie@ramasse.fr;Michel PORRIN;01250;;
RANCÉ;01318;1;649;mairie.rance.01@adeli.biz;Brigitte COULON;01390;;
RELEVANT;01319;1;473;mairie-relevant@orange.fr;Christiane CURNILLON;01990;;
REPLONGES;01320;1;3601;secretariat@replonges.fr;Bertrand VERNOUX;01750;;
REVONNAS;01321;1;830;mairierevonnas@gmail.com;Caroline ZITTEL;01250;;
REYRIEUX;01322;1;4202;accueil@reyrieux.fr;Jacky DUTRUC;01600;;
REYSSOUZE;01323;1;954;mairie-reyssouze@wanadoo.fr;Alain SYLVESTRE-BARON;01190;;
